,L01,L02,L03,L05,L06,L07,N02,N03,N04,N05,N07,N08,N10,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N25,N26,N28,N29,N30,N31,N32,N33,N34,N36,N37,N39,N40,N41,N43,N44,N45,N46,N48,N49,N50,N51,N52,N53,N54,N56,N57,N58,N59,N60,N61,N62,N64,N65,W01,W02,W03,W04
L01,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02,3746,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03,4893,3266,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05,3287,2227,2936,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L06,5452,3634,4704,3294,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L07,3460,2341,2979,1894,3166,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N02,2441,1677,2035,1390,2387,1584,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N03,2758,1882,2296,1558,2654,1682,1942,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N04,3357,2250,2919,1964,3257,2039,2371,2803,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N05,3459,2344,3049,2114,3453,2140,2350,2792,3253,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N07,3114,2078,2554,1759,2950,1867,2025,2249,2672,2788,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N08,3446,2388,3036,2174,3460,2175,2285,2641,3096,3480,2728,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N10,1382,936,1183,813,1352,935,890,1008,1185,1237,1032,1143,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N13,4131,2706,3540,2468,3987,2503,2650,3186,3768,3868,3089,3700,1406,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N14,4532,3039,3819,2613,4290,2796,2762,3136,3789,3813,3324,3892,1497,4425,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,5089,3334,4276,2872,4859,3122,2946,3534,4280,4354,3607,4291,1668,5035,5346,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N16,3747,2526,3173,2190,3613,2320,2226,2489,2971,3227,2773,3267,1223,3651,4022,4295,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N17,3665,2466,3057,2093,3498,2199,2279,2445,3009,3081,2740,3110,1154,3617,3762,4155,3074,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
