"","L01","L02","L03","L05","L06","L07","N01","N02","N03","N04","N05","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N25","N26","N27","N28","N29","N30","N31","N32","N33","N34","N35","N36","N37","N39","N40","N41","N42","N43","N44","N45","N46","N48","N49","N50","N51","N52","N53","N54","N56","N57","N58","N59","N60","N61","N62","N63","N64","N65","W01","W02","W03","W04"
"L01",NA,1766,2339,1477,2312,1663,21,901,901,1172,946,714,634,110,524,92,102,738,1505,1576,790,817,1698,1269,899,627,744,968,15,865,857,69,920,799,664,1339,1453,1133,881,103,329,819,962,518,851,4,1510,833,1164,554,587,389,790,1723,839,1067,943,922,1181,1509,1069,314,741,1630,773,830,900,1444,1659,927,1388
"L02",1766,NA,1549,1016,1486,1168,12,564,585,742,608,457,403,78,330,49,60,458,1001,1098,517,528,1166,763,550,377,417,631,8,599,536,52,607,489,432,901,994,716,562,65,169,490,630,320,527,5,984,524,747,320,364,218,510,1173,555,721,577,582,799,975,727,235,499,1022,505,539,543,966,1126,691,976
"L03",2339,1549,NA,1279,1982,1424,11,727,730,905,779,584,514,110,414,71,87,591,1227,1316,625,658,1369,967,707,490,574,748,15,701,684,49,738,655,578,1063,1127,917,738,87,243,670,807,435,709,5,1195,706,930,441,455,327,638,1410,711,878,770,755,999,1206,905,263,604,1264,662,635,678,1146,1328,805,1165
"L05",1477,1016,1279,NA,1381,855,13,536,558,647,598,419,383,79,290,50,80,468,889,923,479,491,964,771,517,415,458,584,11,524,527,46,581,465,399,797,865,710,567,65,200,497,565,327,536,3,882,506,691,361,372,241,455,1074,510,593,546,594,726,870,732,177,464,958,489,512,523,823,902,536,783
"L06",2312,1486,1982,1381,NA,1364,15,766,837,1036,878,668,599,129,467,82,99,653,1325,1456,708,737,1548,1116,778,574,660,863,19,828,755,79,866,742,659,1197,1212,1027,816,91,278,775,924,520,818,7,1353,780,1090,482,541,347,737,1566,761,963,859,822,1083,1388,999,302,667,1412,762,768,767,1200,1418,776,1285
"L07",1663,1168,1424,855,1364,NA,12,484,503,596,491,395,327,65,286,50,45,361,839,898,391,446,898,610,466,320,361,527,7,486,412,28,450,393,381,710,753,644,466,51,144,424,512,280,491,4,824,416,619,230,304,188,424,951,408,632,505,446,630,833,561,173,378,854,395,422,440,898,959,589,834
"N01",21,12,11,13,15,12,NA,19,19,26,29,24,24,5,12,1,2,29,40,35,21,26,42,32,32,18,30,33,0,23,33,3,29,29,27,26,35,21,22,2,14,26,31,16,32,0,38,20,36,21,22,14,18,47,25,22,30,23,31,34,32,9,14,36,27,22,32,15,25,11,24
"N02",901,564,727,536,766,484,19,NA,1178,1602,1462,1195,1338,271,614,163,217,1462,2214,2161,1348,1453,2277,1699,1784,1377,1419,1679,15,1105,1826,92,1806,1641,1506,1646,2144,1401,1205,194,639,1650,1662,1086,1569,10,2098,1390,1984,1036,1200,798,1064,2084,1363,1580,1565,1524,1672,2140,1829,468,1354,2121,1365,1189,1592,924,1249,627,1385
"N03",901,585,730,558,837,503,19,1178,NA,1574,1349,1095,1146,259,579,141,181,1422,2027,2149,1218,1338,2303,1549,1574,1163,1367,1513,24,1035,1553,94,1705,1440,1283,1631,1980,1232,1144,171,542,1426,1558,987,1477,10,1931,1251,1838,934,1121,705,1062,2077,1338,1454,1530,1352,1684,2031,1711,437,1212,2072,1327,1107,1545,940,1234,634,1373
"N04",1172,742,905,647,1036,596,26,1602,1574,NA,1752,1522,1564,297,796,200,267,1848,2672,2946,1580,1815,2998,1981,2127,1565,1774,2106,21,1408,2182,127,2245,1980,1727,2155,2556,1712,1470,223,752,1929,2195,1266,1970,12,2545,1649,2453,1266,1545,925,1405,2771,1752,1899,2134,1728,2243,2635,2203,610,1593,2763,1729,1402,2011,1232,1613,811,1764
"N05",946,608,779,598,878,491,29,1462,1349,1752,NA,1389,1865,400,678,220,271,2306,2512,2469,2132,1907,2571,2688,2497,2098,2128,2065,24,1764,2721,124,2655,2539,2246,1875,2332,1518,1930,256,998,2436,1756,1748,1809,10,2392,2111,2406,1724,1730,1181,1275,2575,1462,1797,1894,2406,1844,2560,2758,575,1491,2475,2015,1871,1869,1011,1309,646,1445
"N07",714,457,584,419,668,395,24,1195,1095,1522,1389,NA,1548,284,472,185,217,1690,2069,1991,1370,1751,2093,1414,2011,1577,1579,1973,24,1019,2099,85,2139,2022,1792,1440,1997,1106,1011,222,744,1953,1825,1230,1806,7,1959,1306,2411,1225,1323,940,1024,1628,1545,1476,1838,1434,1490,1987,1622,432,1591,1993,1315,990,1751,733,1106,573,1296
"N08",634,403,514,383,599,327,24,1338,1146,1564,1865,1548,NA,440,454,246,311,2604,2343,2098,2021,2232,2287,2161,2885,2462,2397,2260,30,1267,3140,100,2916,3096,2740,1371,2230,1179,1429,308,1114,3023,1947,1926,1933,10,2119,1865,2663,1790,2007,1377,1018,1833,1566,1695,1934,2093,1691,2244,2480,471,1747,2127,1997,1391,2208,740,1098,537,1237
"N09",110,78,110,79,129,65,5,271,259,297,400,284,440,NA,120,54,80,499,442,396,356,431,445,399,588,441,461,461,3,252,566,25,544,538,461,278,448,229,275,69,246,561,367,361,391,5,399,381,517,353,404,292,230,358,325,336,388,387,334,437,471,109,346,424,382,283,449,173,226,118,240
"N10",524,330,414,290,467,286,12,614,579,796,678,472,454,120,NA,62,86,547,968,1097,595,518,1144,877,654,493,535,605,14,536,613,57,651,554,535,912,951,756,673,69,218,586,637,386,599,2,929,628,725,374,437,292,532,1161,527,731,596,677,815,989,795,220,456,1005,658,653,591,500,596,299,658
