,L01,L02,L03,L05,L06,L07,N02,N03,N04,N05,N07,N08,N10,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N25,N26,N28,N29,N30,N31,N32,N33,N34,N36,N37,N39,N40,N41,N43,N44,N45,N46,N48,N49,N50,N51,N52,N53,N54,N56,N57,N58,N59,N60,N61,N62,N64,N65,W01,W02,W03,W04
L01,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02,1766,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03,2339,1549,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05,1477,1016,1279,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L06,2312,1486,1982,1381,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L07,1663,1168,1424,855,1364,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N02,901,564,727,536,766,484,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N03,901,585,730,558,837,503,1178,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N04,1172,742,905,647,1036,596,1602,1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N05,946,608,779,598,878,491,1462,1349,1752,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N07,714,457,584,419,668,395,1195,1095,1522,1389,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N08,634,403,514,383,599,327,1338,1146,1564,1865,1548,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N10,524,330,414,290,467,286,614,579,796,678,472,454,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N13,738,458,591,468,653,361,1462,1422,1848,2306,1690,2604,547,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N14,1505,1001,1227,889,1325,839,2214,2027,2672,2512,2069,2343,968,2749,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,1576,1098,1316,923,1456,898,2161,2149,2946,2469,1991,2098,1097,2557,3864,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N16,790,517,625,479,708,391,1348,1218,1580,2132,1370,2021,595,2362,2550,2273,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N17,817,528,658,491,737,446,1453,1338,1815,1907,1751,2232,518,2426,2566,2496,1902,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N18,1698,1166,1369,964,1548,898,2277,2303,2998,2571,2093,2287,1144,2775,4086,4334,2366,2592,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N19,1269,763,967,771,1116,610,1699,1549,1981,2688,1414,2161,877,2582,3230,2930,2851,2087,3067,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N20,899,550,707,517,778,466,1784,1574,2127,2497,2011,2885,654,3448,3243,2997,2538,2820,3229,2668,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N21,627,377,490,415,574,320,1377,1163,1565,2098,1577,2462,493,3022,2496,2194,2297,2305,2384,2358,3065,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N22,744,417,574,458,660,361,1419,1367,1774,2128,1579,2397,535,3142,2533,2532,2165,2295,2675,2385,3221,2688,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N23,968,631,748,584,863,527,1679,1513,2106,2065,1973,2260,605,2638,2940,2870,1970,2477,3067,2045,3169,2393,2421,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N25,865,599,701,524,828,486,1105,1035,1408,1764,1019,1267,536,1659,2010,2061,1596,1437,2078,2113,1751,1556,1536,1571,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N26,857,536,684,527,755,412,1826,1553,2182,2721,2099,3140,613,3919,3338,3006,2791,3018,3233,2937,4182,3588,3436,3299,1958,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N28,920,607,738,581,866,450,1806,1705,2245,2655,2139,2916,651,3835,3373,3102,2769,2883,3417,2807,3949,3310,3486,3212,2003,4461,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N29,799,489,655,465,742,393,1641,1440,1980,2539,2022,3096,554,3515,3111,2752,2751,2857,2951,2910,3860,3328,3335,2877,1809,4317,3967,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N30,664,432,578,399,659,381,1506,1283,1727,2246,1792,2740,535,3209,2758,2430,2386,2548,2652,2486,3451,2955,2902,2644,1530,3825,3568,3703,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N31,1339,901,1063,797,1197,710,1646,1631,2155,1875,1440,1371,912,1671,2905,2991,1694,1647,3204,2396,1955,1483,1604,1918,1500,1984,2046,1781,1592,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N32,1453,994,1127,865,1212,753,2144,1980,2556,2332,1997,2230,951,2589,3726,3674,2302,2434,3969,2778,3001,2350,2394,2846,1834,3186,3092,2882,2620,2814,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N33,1133,716,917,710,1027,644,1401,1232,1712,1518,1106,1179,756,1390,2339,2343,1491,1336,2419,2184,1586,1261,1294,1502,1264,1547,1590,1562,1316,2009,2222,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N34,881,562,738,567,816,466,1205,1144,1470,1930,1011,1429,673,1603,2269,2147,1929,1465,2164,3002,1790,1528,1563,1429,1419,1971,1877,1895,1601,1709,1924,1525,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N36,329,169,243,200,278,144,639,542,752,998,744,1114,218,1419,1173,1011,1050,1042,1099,1067,1385,1290,1278,1094,723,1600,1510,1459,1345,705,1082,573,743,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N37,819,490,670,497,775,424,1650,1426,1929,2436,1953,3023,586,3412,3039,2644,2604,2844,2883,2864,3729,3186,3194,2833,1723,4104,3916,4118,3509,1733,2846,1574,1904,1416,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
N39,962,630,807,565,924,512,1662,1558,2195,1756,1825,1947,637,2466,2918,3055,1711,2211,3221,1699,2742,2062,2279,2676,1349,2901,2957,2592,2350,1948,2832,1419,1209,995,2515,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
