"","L01","L02","L03","L05","L06","L07","N01","N02","N03","N04","N05","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N25","N26","N27","N28","N29","N30","N31","N32","N33","N34","N35","N36","N37","N39","N40","N41","N42","N43","N44","N45","N46","N48","N49","N50","N51","N52","N53","N54","N56","N57","N58","N59","N60","N61","N62","N63","N64","N65","W01","W02","W03","W04"
"L01",NA,1651,1127,670,1451,1282,24,918,843,821,1481,1182,907,94,207,57,117,1645,1825,1381,1099,3,1985,1355,1800,41,55,1237,917,1325,1626,70,1689,1001,1048,1640,1481,1100,1040,171,321,1323,1191,1021,1269,14,1346,1210,1785,1209,1025,1050,1214,296,1614,1295,1614,1798,1656,1569,1966,1106,1534,1814,1505,1150,1427,1508,2075,1707,2027
"L02",1651,NA,1724,1024,2201,1972,49,1425,1314,1234,2320,1913,1453,149,294,102,188,2584,2993,2261,1723,5,3291,2216,2880,76,93,1967,1411,2114,2474,122,2664,1577,1693,2650,2345,1753,1562,250,511,2111,2007,1605,2101,20,2104,1990,2816,1923,1653,1559,1959,488,2592,2094,2575,2932,2665,2513,3042,1708,2450,2919,2377,1859,2334,2332,3418,2693,3266
"L03",1127,1724,NA,723,1497,1333,29,878,805,799,1551,1193,947,95,218,70,123,1693,1917,1409,1167,5,1969,1429,1866,55,63,1337,956,1420,1638,83,1724,1045,1103,1731,1481,1156,1113,152,356,1367,1274,1089,1353,15,1417,1287,1844,1300,1025,971,1302,317,1684,1337,1605,1912,1642,1627,1945,1100,1542,1846,1459,1202,1436,1511,2128,1774,2027
"L05",670,1024,723,NA,883,727,16,598,559,519,963,772,611,83,133,44,74,1038,1143,883,668,3,1255,860,1175,31,44,801,593,814,995,51,1030,664,667,1097,989,693,648,116,198,861,801,635,861,13,852,799,1165,777,660,623,779,230,1025,842,1040,1121,1087,1007,1216,668,941,1179,1011,718,967,955,1293,1100,1275
"L06",1451,2201,1497,883,NA,1621,44,1213,1133,1104,1961,1680,1240,140,286,90,177,2279,2481,1942,1459,3,2764,1877,2487,56,83,1726,1182,1757,2099,105,2267,1334,1447,2225,2026,1475,1361,210,435,1771,1686,1397,1724,18,1763,1705,2430,1665,1377,1345,1723,412,2247,1835,2188,2478,2353,2098,2674,1445,2089,2460,2009,1580,1959,1975,2910,2315,2783
"L07",1282,1972,1333,727,1621,NA,31,1107,1022,981,1764,1458,1141,98,241,69,156,1963,2224,1750,1375,3,2406,1628,2147,56,68,1506,1068,1650,1898,102,2000,1205,1281,1938,1778,1330,1256,189,402,1585,1513,1282,1549,20,1623,1514,2090,1506,1253,1206,1552,381,1976,1609,1950,2207,2086,1905,2317,1260,1826,2141,1769,1383,1730,1734,2556,2084,2436
"N01",24,49,29,16,44,31,NA,37,50,45,74,43,45,11,10,3,11,70,75,62,54,1,71,54,73,3,4,57,41,42,71,3,51,45,50,62,67,63,53,7,18,54,57,51,62,0,64,53,54,55,44,52,63,20,75,62,78,71,88,46,70,61,79,85,66,51,67,49,69,49,65
"N02",918,1425,878,598,1213,1107,37,NA,1444,1315,2117,1715,1432,191,249,120,184,2212,2503,1930,1430,5,2619,1765,2501,57,99,1657,1451,1521,2226,85,1805,1530,1725,2009,2195,1792,1486,243,450,1952,1745,1384,2033,22,1825,1724,2177,1572,1671,1617,1815,520,2443,2049,2389,2270,2615,1879,2159,1639,2369,2462,2205,1444,2031,1539,2219,1783,2289
"N03",843,1314,805,559,1133,1022,50,1444,NA,1310,2088,1626,1394,168,289,125,185,2135,2554,1994,1328,4,2512,1675,2450,51,120,1642,1331,1429,2105,98,1692,1434,1691,2051,2288,1799,1457,221,422,1916,1776,1362,2076,27,1741,1664,2141,1572,1789,1479,1806,512,2399,1891,2341,2219,2678,1804,2135,1645,2282,2419,2278,1353,2052,1469,2108,1689,2206
"N04",821,1234,799,519,1104,981,45,1315,1310,NA,1887,1490,1280,151,255,102,180,1960,2291,1759,1206,1,2421,1551,2243,58,101,1482,1180,1351,1938,81,1713,1270,1492,1861,2053,1567,1266,198,441,1706,1613,1202,1832,22,1593,1473,2006,1460,1607,1341,1668,458,2210,1806,2160,2017,2399,1749,2094,1498,2047,2196,2102,1257,1881,1374,1912,1601,2061
"N05",1481,2320,1551,963,1961,1764,74,2117,2088,1887,NA,2753,2397,249,390,171,245,3724,3940,3003,2495,4,3971,2986,3837,112,158,3087,2345,2809,3959,150,3157,2506,2836,3277,3462,2726,2489,347,787,3354,2589,2615,3249,35,3365,2841,3409,3000,2570,2584,3096,731,3752,2922,4026,4317,4006,2884,3477,2678,3888,3809,3312,2715,3082,2570,3634,2942,3767
"N07",1182,1913,1193,772,1680,1458,43,1715,1626,1490,2753,NA,1889,190,355,121,216,2813,3238,2384,1942,3,3318,2415,3188,79,126,2276,1866,2063,2928,131,2459,1980,2208,2905,2861,2142,1898,294,597,2594,2123,1742,2454,33,2616,2276,3008,2205,1891,2114,2314,588,2953,2416,2988,3147,3035,2586,2953,1954,3028,3098,2641,2094,2519,2193,3115,2459,3310
"N08",907,1453,947,611,1240,1141,45,1432,1394,1280,2397,1889,NA,190,250,118,173,2168,2633,1869,1543,5,2489,2047,2660,78,107,1950,1843,1570,2507,86,1874,1965,1994,2132,2305,1934,1848,312,482,2607,1682,1522,2378,32,2059,2011,2247,1715,1726,2043,1838,488,2412,1992,2360,2666,2522,1970,2180,1635,2884,2448,2184,1692,1950,1688,2339,1805,2428
"N09",94,149,95,83,140,98,11,191,168,151,249,190,190,NA,39,21,22,254,284,210,171,1,288,211,290,11,16,192,182,159,246,12,180,191,185,222,263,216,190,31,69,232,192,153,281,1,233,180,257,194,228,190,205,69,277,226,275,255,303,219,258,194,252,272,279,175,249,162,223,193,238
"N10",207,294,218,133,286,241,10,249,289,255,390,355,250,39,NA,24,43,435,523,423,288,1,579,358,523,25,20,359,262,326,413,18,417,280,318,469,459,341,281,39,86,362,397,287,400,5,370,341,516,335,363,264,376,113,497,387,450,466,512,429,514,327,420,530,482,312,450,361,480,393,502
"N11",57,102,70,44,90,69,3,120,125,102,171,121,118,21,24,NA,17,159,177,150,94,0,179,132,190,3,11,142,115,117,161,3,143,125,135,155,171,138,114,19,40,151,138,116,176,0,145,145,175,137,135,122,152,44,186,149,171,186,195,139,163,134,181,176,189,112,142,121,147,123,169
"N12",117,188,123,74,177,156,11,184,185,180,245,216,173,22,43,17,NA,299,373,271,183,1,352,238,356,9,19,212,190,204,257,20,289,185,228,300,287,244,188,29,41,252,277,178,285,3,225,205,336,203,228,168,234,81,290,265,294,302,321,278,340,205,262,349,293,176,299,216,314,253,330
"N13",1645,2584,1693,1038,2279,1963,70,2212,2135,1960,3724,2813,2168,254,435,159,299,NA,4293,3338,2565,8,4493,3038,4173,105,152,2988,2074,2961,3976,170,3574,2306,2620,3618,3693,2774,2318,335,786,3012,2943,2460,3212,33,3277,2795,3879,3125,2643,2404,3152,812,3923,3206,4223,4200,4255,3304,4036,2794,3663,4228,3796,2705,3490,2853,4035,3247,4099
"N14",1825,2993,1917,1143,2481,2224,75,2503,2554,2291,3940,3238,2633,284,523,177,373,4293,NA,4000,2786,8,5503,3545,5069,106,183,3250,2578,3122,4168,188,4147,2679,3217,4481,4449,3258,2713,415,773,3725,3640,2589,3945,38,3607,3367,4868,3073,3136,2842,3310,913,4558,3686,4487,4675,5040,4169,5035,2882,4368,5079,4413,2905,4135,3482,5015,3870,5194
"N15",1381,2261,1409,883,1942,1750,62,1930,1994,1759,3003,2384,1869,210,423,150,271,3338,4000,NA,2038,7,4232,2551,3931,86,139,2447,1818,2345,3083,162,3160,1994,2283,3460,3285,2489,1933,295,587,2661,2759,1961,2869,29,2642,2454,3704,2381,2484,2008,2574,739,3421,2768,3355,3496,3816,3198,3826,2225,3187,3881,3398,2200,3151,2618,3759,2933,3893
"N16",1099,1723,1167,668,1459,1375,54,1430,1328,1206,2495,1942,1543,171,288,94,183,2565,2786,2038,NA,4,2828,2134,2695,78,111,2115,1461,2173,2697,136,2491,1653,1770,2472,2337,1773,1610,253,532,2127,1792,1673,2003,19,2400,1981,2582,2068,1596,1682,2008,464,2440,2012,2589,2969,2541,2267,2674,1808,2486,2719,2220,2050,2123,1966,2800,2237,2850
"N17",3,5,5,3,3,3,1,5,4,1,4,3,5,1,1,0,1,8,8,7,4,NA,7,5,6,1,0,4,7,6,4,0,4,3,4,6,7,9,2,1,2,7,3,3,5,1,5,5,9,5,5,5,5,0,7,4,5,8,5,8,6,8,7,9,6,4,8,5,9,5,6
"N18",1985,3291,1969,1255,2764,2406,71,2619,2512,2421,3971,3318,2489,288,579,179,352,4493,5503,4232,2828,7,NA,3460,5360,118,200,3290,2419,3355,4292,200,4527,2623,3112,4768,4546,3253,2611,397,823,3533,3916,2541,3867,37,3555,3348,5103,3264,3181,2749,3462,985,4763,3966,4762,4705,5293,4544,5500,3118,4266,5441,4626,2857,4402,3657,5341,4268,5556
"N19",1355,2216,1429,860,1877,1628,54,1765,1675,1551,2986,2415,2047,211,358,132,238,3038,3545,2551,2134,5,3460,NA,3472,85,114,2535,1988,2278,3055,130,2678,2182,2336,2998,3076,2337,2209,315,637,2824,2298,1991,2666,30,2673,2568,3258,2311,2052,2317,2333,622,3182,2562,3098,3504,3282,2710,3212,2054,3349,3404,2836,2310,2696,2401,3448,2749,3477
"N20",1800,2880,1866,1175,2487,2147,73,2501,2450,2243,3837,3188,2660,290,523,190,356,4173,5069,3931,2695,6,5360,3472,NA,103,172,3369,2546,3034,4047,197,4112,2838,3085,4434,4381,3238,2691,410,752,3697,3518,2471,3948,46,3490,3338,4929,2966,3108,2806,3221,901,4429,3582,4321,4653,4837,4145,4961,2847,4341,4931,4357,2916,4076,3358,4813,3846,4995
