,L01,L02,L03,L05,L06,L07,N02,N03,N04,N05,N07,N08,N13,N14,N15,N16,N18,N19,N20,N23,N24,N25,N26,N28,N29,N30,N31,N32,N33,N34,N37,N39,N40,N41,N43,N44,N45,N46,N48,N49,N50,N52,N53,N54,N56,N57,N58,N59,N60,N61,N62,N63,N64,N65,W01,W02,W03,W04
L01,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02,1651,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03,1127,1724,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05,670,1024,723,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L06,1451,2201,1497,883,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L07,1282,1972,1333,727,1621,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N02,918,1425,878,598,1213,1107,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N03,843,1314,805,559,1133,1022,1444,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N04,821,1234,799,519,1104,981,1315,1310,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N05,1481,2320,1551,963,1961,1764,2117,2088,1887,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N07,1182,1913,1193,772,1680,1458,1715,1626,1490,2753,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N08,907,1453,947,611,1240,1141,1432,1394,1280,2397,1889,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N13,1645,2584,1693,1038,2279,1963,2212,2135,1960,3724,2813,2168,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N14,1825,2993,1917,1143,2481,2224,2503,2554,2291,3940,3238,2633,4293,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,1381,2261,1409,883,1942,1750,1930,1994,1759,3003,2384,1869,3338,4000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N16,1099,1723,1167,668,1459,1375,1430,1328,1206,2495,1942,1543,2565,2786,2038,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N18,1985,3291,1969,1255,2764,2406,2619,2512,2421,3971,3318,2489,4493,5503,4232,2828,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N19,1355,2216,1429,860,1877,1628,1765,1675,1551,2986,2415,2047,3038,3545,2551,2134,3460,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N20,1800,2880,1866,1175,2487,2147,2501,2450,2243,3837,3188,2660,4173,5069,3931,2695,5360,3472,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N23,1237,1967,1337,801,1726,1506,1657,1642,1482,3087,2276,1950,2988,3250,2447,2115,3290,2535,3369,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N24,917,1411,956,593,1182,1068,1451,1331,1180,2345,1866,1843,2074,2578,1818,1461,2419,1988,2546,1901,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N25,1325,2114,1420,814,1757,1650,1521,1429,1351,2809,2063,1570,2961,3122,2345,2173,3355,2278,3034,2305,1534,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N26,1626,2474,1638,995,2099,1898,2226,2105,1938,3959,2928,2507,3976,4168,3083,2697,4292,3055,4047,3217,2409,3073,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N28,1689,2664,1724,1030,2267,2000,1805,1692,1713,3157,2459,1874,3574,4147,3160,2491,4527,2678,4112,2840,1747,3016,3444,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N29,1001,1577,1045,664,1334,1205,1530,1434,1270,2506,1980,1965,2306,2679,1994,1653,2623,2182,2838,2058,1903,1656,2618,1985,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N30,1048,1693,1103,667,1447,1281,1725,1691,1492,2836,2208,1994,2620,3217,2283,1770,3112,2336,3085,2169,1894,1842,2839,2142,2135,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N31,1640,2650,1731,1097,2225,1938,2009,2051,1861,3277,2905,2132,3618,4481,3460,2472,4768,2998,4434,2842,2055,2739,3472,3758,2268,2529,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N32,1481,2345,1481,989,2026,1778,2195,2288,2053,3462,2861,2305,3693,4449,3285,2337,4546,3076,4381,2916,2194,2477,3568,3239,2447,2789,3807,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N33,1100,1753,1156,693,1475,1330,1792,1799,1567,2726,2142,1934,2774,3258,2489,1773,3253,2337,3238,2164,1877,1869,2807,2243,2013,2176,2635,2890,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N34,1040,1562,1113,648,1361,1256,1486,1457,1266,2489,1898,1848,2318,2713,1933,1610,2611,2209,2691,1996,1793,1685,2591,1939,1918,1976,2097,2361,1972,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N37,1323,2111,1367,861,1771,1585,1952,1916,1706,3354,2594,2607,3012,3725,2661,2127,3533,2824,3697,2674,2422,2215,3423,2611,2644,2650,2987,3207,2640,2506,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
