,L01,L02,L03,L05,L06,L07,N02,N03,N04,N05,N07,N08,N13,N14,N15,N16,N18,N19,N20,N23,N24,N25,N26,N28,N29,N30,N31,N32,N33,N34,N37,N39,N40,N41,N43,N44,N45,N46,N48,N49,N50,N52,N53,N54,N56,N57,N58,N59,N60,N61,N62,N63,N64,N65,W01,W02,W03,W04
L01,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02,867,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L03,491,941,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L05,307,478,343,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L06,609,1014,641,437,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L07,632,1123,654,362,701,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N02,221,387,202,143,245,319,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N03,217,376,178,124,219,283,908,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N04,229,349,177,128,221,275,880,833,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N05,360,593,301,226,395,432,1147,1073,1057,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N07,262,423,222,158,297,327,979,941,904,1386,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N08,176,343,174,116,219,219,676,593,612,1025,1058,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N13,366,615,350,225,451,446,1098,900,918,1918,1335,1173,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N14,465,832,415,283,522,593,1977,1702,1652,2591,2140,1491,2413,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N15,390,677,329,233,418,489,1388,1252,1266,1793,1540,1046,1809,3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N16,252,399,203,155,288,269,653,508,496,1361,745,682,1471,1571,1046,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N18,488,911,439,312,552,663,2135,1981,1989,2678,2307,1495,2549,4695,3267,1485,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N19,378,640,325,223,488,423,812,705,717,1609,927,790,1547,2033,1460,1193,1897,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N20,394,653,318,223,408,478,1781,1542,1537,2469,2226,1602,2882,3807,2665,1509,4175,1553,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N23,271,478,253,156,327,343,1098,962,947,1621,1485,1096,1687,2260,1634,920,2420,1008,2455,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N24,232,397,208,129,243,298,669,596,584,1150,769,634,902,1529,1080,817,1526,1139,1239,830,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N25,311,495,268,185,365,357,668,637,614,1458,910,701,1583,1688,1232,1065,1717,1301,1522,1070,828,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N26,378,623,330,215,412,469,1406,1230,1234,2312,1979,1489,2753,3184,2159,1522,3300,1546,3502,2284,1170,1582,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N28,282,513,262,163,322,371,1285,1114,1152,2078,1618,1126,2502,2822,1920,1312,3055,1249,3175,1867,927,1396,2793,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N29,207,354,209,123,246,254,649,558,540,1074,942,878,1447,1458,1042,876,1385,951,1637,1094,676,873,1607,1296,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N30,209,403,186,136,269,259,867,695,712,1303,1195,951,1487,1810,1265,877,1790,920,2031,1251,688,898,1822,1561,979,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N31,441,763,382,251,487,550,1612,1542,1491,2147,1649,1057,1714,3492,2398,1241,4003,1647,2697,1682,1348,1354,2266,2054,1007,1294,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N32,421,699,361,241,436,527,1746,1507,1514,2103,1882,1257,2002,3613,2541,1224,4090,1468,3310,2003,1239,1324,2718,2419,1220,1520,3098,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N33,311,580,303,209,389,426,1101,1002,981,1431,1121,790,1189,2334,1689,844,2510,1387,1723,1121,982,1002,1504,1213,766,859,2209,1990,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N34,279,481,235,157,312,332,751,682,663,1362,886,634,1042,1699,1245,971,1629,1430,1376,921,930,940,1319,1067,725,783,1511,1332,1119,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N37,347,587,340,175,394,409,1032,894,879,1576,1484,1296,2113,2239,1678,1189,2190,1534,2400,1614,978,1234,2307,1761,1487,1418,1637,1929,1299,1021,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
N39,289,486,244,148,296,356,1340,1156,1153,1465,1549,1022,1747,2694,1986,801,3135,866,2776,1631,722,882,2131,2047,958,1281,1978,2401,1295,837,1549,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
N40,183,315,168,108,192,202,486,421,409,1178,738,600,1545,1237,880,957,1251,866,1470,930,557,906,1540,1423,823,846,875,1002,587,656,1083,785,NA,,,,,,,,,,,,,,,,,,,,,,,,,
N41,321,603,293,197,345,418,1609,1387,1381,1862,1964,1319,1970,3331,2342,1074,3725,1265,3417,2026,1006,1192,2694,2412,1257,1551,2444,2932,1632,1128,1964,2454,953,NA,,,,,,,,,,,,,,,,,,,,,,,,
N43,393,660,356,244,453,518,1341,1192,1179,1973,1607,1160,1884,2857,1992,1149,3071,1503,2570,1809,1152,1306,2441,1922,1157,1415,2440,2523,1687,1292,1850,1740,971,2224,NA,,,,,,,,,,,,,,,,,,,,,,,
N44,340,557,295,200,385,385,775,664,640,1429,935,804,1632,1837,1432,1075,1739,1626,1610,1091,950,1176,1621,1292,1033,943,1478,1401,1184,1138,1580,922,906,1294,1478,NA,,,,,,,,,,,,,,,,,,,,,,
N45,419,734,372,235,498,559,1559,1401,1436,2141,2154,1579,2815,3443,2565,1347,3765,1685,3695,2289,1141,1539,3189,2618,1615,1880,2561,3059,1838,1276,2604,2503,1333,3088,2530,1773,NA,,,,,,,,,,,,,,,,,,,,,
N46,208,394,221,129,288,260,789,663,669,1575,1046,877,1777,1805,1225,1077,1948,931,2092,1277,686,1102,2095,1922,1042,1203,1308,1514,809,866,1330,1301,1171,1525,1363,961,1741,NA,,,,,,,,,,,,,,,,,,,,
N48,279,491,269,174,357,400,974,879,898,1414,1169,915,2071,2038,1631,943,2263,1166,2276,1392,726,1087,1940,1774,1051,1168,1483,1754,1046,811,1698,1563,963,1779,1525,1214,2293,1209,NA,,,,,,,,,,,,,,,,,,,
N49,219,392,188,126,263,264,763,674,621,1227,1106,961,1454,1647,1152,838,1697,1024,1848,1188,733,829,1726,1437,1032,1029,1155,1418,835,737,1503,1099,785,1442,1256,968,1729,1011,1169,NA,,,,,,,,,,,,,,,,,,
N50,349,633,338,209,437,448,1117,1056,1051,1656,1301,971,1817,2396,1829,1007,2631,1352,2184,1503,932,1213,2005,1686,983,1106,2023,1995,1450,1054,1599,1437,845,1872,1889,1301,2245,1172,1455,1037,NA,,,,,,,,,,,,,,,,,
N52,362,675,333,219,417,504,1807,1540,1484,2266,2159,1397,2477,3766,2673,1238,4262,1317,3906,2279,1063,1402,3218,2869,1332,1846,2798,3282,1713,1269,2066,2892,1223,3369,2520,1393,3371,1899,2064,1603,2083,NA,,,,,,,,,,,,,,,,
N53,311,546,286,216,357,410,1306,1148,1151,1684,1470,996,1630,2893,1979,988,3067,1273,2499,1489,1003,1090,2073,1878,985,1170,2326,2441,1576,1161,1478,1849,828,2199,1923,1225,2231,1209,1410,1133,1608,2447,NA,,,,,,,,,,,,,,,
N54,404,697,355,252,459,546,1795,1534,1568,2611,2260,1585,2897,3825,2688,1492,4392,1514,4271,2553,1205,1671,3704,3285,1573,1963,2871,3391,1759,1350,2315,2923,1539,3425,2775,1606,3706,2212,2225,1736,2329,4073,2558,NA,,,,,,,,,,,,,,
N56,416,758,399,269,539,537,1303,1145,1130,2763,1610,1240,2460,3248,2200,1849,3152,2232,2913,1842,1604,1905,2857,2522,1499,1623,2639,2463,1780,1862,2045,1643,1603,2163,2320,2007,2552,1983,1675,1522,1876,2580,2045,3009,NA,,,,,,,,,,,,,
N57,496,824,384,297,525,597,1949,1776,1747,2409,2032,1378,2332,4118,2978,1366,4858,1741,3711,2174,1363,1520,2963,2755,1323,1721,3631,3752,2245,1519,2041,2758,1150,3328,2760,1582,3393,1778,2129,1529,2354,3792,2792,3857,2852,NA,,,,,,,,,,,,
N58,424,743,391,264,501,541,1414,1264,1298,2041,1618,1191,2226,3156,2323,1273,3268,1865,2885,1846,1205,1411,2429,2031,1234,1409,2541,2641,1851,1441,2051,1917,1056,2432,2305,1703,2934,1359,1814,1375,2003,2726,2096,2867,2484,3076,NA,,,,,,,,,,,
N59,506,853,469,318,617,609,1392,1306,1296,2473,1664,1228,2685,3434,2546,1704,3453,2465,2978,1808,1465,1893,2686,2475,1518,1569,2726,2588,1991,1730,2274,1876,1502,2336,2374,2336,2993,1673,2032,1564,2142,2690,2191,3022,3311,3059,2832,NA,,,,,,,,,,
N60,279,425,232,165,271,331,1014,919,948,1553,1140,826,1423,2160,1601,890,2287,1037,1991,1302,838,1008,1706,1603,755,965,1750,1796,1139,991,1160,1425,737,1646,1561,972,1812,1113,1106,874,1368,1982,1454,2184,1795,2115,1630,1778,NA,,,,,,,,,
N61,408,681,357,205,427,491,1481,1292,1308,1943,2138,1558,2279,3324,2299,1197,3411,1536,3322,2230,1159,1369,2963,2260,1541,1701,2283,2860,1661,1168,2566,2256,1085,3015,2460,1589,3355,1515,1902,1732,1954,3306,2136,3326,2318,3065,2654,2587,1582,NA,,,,,,,,
N62,492,822,409,295,507,604,1926,1787,1802,2487,2053,1358,2168,4210,2986,1304,4814,1788,3639,2131,1438,1519,2932,2693,1256,1638,3718,3665,2304,1578,2034,2706,1077,3308,2825,1674,3344,1651,1961,1504,2356,3743,2667,3858,2890,4306,2983,3254,2117,3088,NA,,,,,,,
