ID,Site,Date_of_capture,Length_of_captivity_days,Sex,Pregnant,Mass_g,Length_cm,Age_days,Spleen_mass_g,Number_of_spleen_cells,Percent_viable_cells,Percent_CD3._T.cells,Number_of_T_cells,Percent_CD3.CD4.,Percent_CD3.CD8.,Ratio_of_CD4_to_CD8,Number_of_sorted_CD4,Number_of_sorted_CD8,Storage_method,CD4.alpha.count,CD4.beta.count,CD8.alpha.count,CD8.beta.count,CD4.alpha.unique.seq,CD4.beta.unique.seq,CD8.alpha.unique.seq,CD8.beta.unique.seq,CD4.alpha.powerlaw,CD4.beta.powerlaw,CD8.alpha.powerlaw,CD8.beta.powerlaw,CD4.alpha.simpsons,CD4.beta.simpsons,CD8.alpha.simpsons,CD8.beta.simpsons,CD4.alpha.shannons,CD4.beta.shannons,CD8.alpha.shannons,CD8.beta.shannons
L01,Lab,NA,NA,F,No,36,10.4,254.3,0.13,14250000,0.972133316,0.344462333,4908588.24,0.750225642,0.171893668,4.364475144,532399,119442,Homogenised lysate,218363,240618,97196,154786,38921,67277,10211,16995,3.225249827,3.6874106,4.260527156,4.198979637,0.000208049,5.32044373464589e-05,0.000200852,0.000138703,9.768448849,10.29153706,8.875979072,9.311397173
L02,Lab,NA,NA,F,No,36.77,10.7,240.8,0.16,34150000,0.987784646,0.457183733,15612824.49,0.6205991,0.310489751,1.99877483,821884,402712,Homogenised lysate,73201,88333,70513,91362,16784,28646,18033,33761,4.076124325,4.97776192,4.513055241,5.209988028,0.000491832,6.00582259245949e-05,0.000102827,5.42751706533257e-05,9.304177009,9.934352647,9.501554255,10.09805259
L03,Lab,NA,NA,F,No,45.5,9.8,232.2,0.16,43700000,0.978614904,0.275335031,12032140.87,0.739346216,0.154658298,4.78051437,1157961,246890,Homogenised lysate,233880,221483,91283,144481,28078,47036,10690,17277,3.448061483,4.074278518,3.696955563,3.547310394,0.000196896,5.33167660601521e-05,0.000195606,0.000160661,9.606370354,10.14116172,8.917454184,9.314439614
L05,Lab,NA,NA,F,No,47.34,9.8,291,0.16,112600000,0.959053122,0.264573949,29791026.68,0.544425314,0.264290556,2.059949935,475015,219802,Homogenised lysate,145945,157592,49379,86242,15857,27167,5861,10169,2.826693693,2.924783106,4.599274439,4.873683398,0.000327868,0.000163695,0.000349433,0.000229604,8.959391387,9.528331593,8.373566895,8.890915254
L06,Lab,NA,NA,F,No,41.44,10.4,NA,0.21,73800000,0.990809513,0.276986517,20441604.97,0.757342131,0.127722839,5.929574845,1353132,211187,Homogenised lysate,209805,283725,132073,179651,34861,58638,15792,24128,3.276658,4.358935808,3.728483081,4.138961172,0.00019619,5.36757547328416e-05,0.000193359,0.000110758,9.721458294,10.25667297,9.226173995,9.642031848
L07,Lab,NA,NA,F,No,38.59,10.1,NA,0.14,5e+07,0.984382233,0.274904192,13745209.62,0.697836895,0.189395031,3.684557572,1244551,313677,Homogenised lysate,68637,79052,55078,75640,14910,24458,11690,20658,4.217940736,5.165755461,4.832362555,7.639740844,0.000642764,7.44351432512379e-05,0.000154246,7.57869225275004e-05,9.147953722,9.802267556,9.032078627,9.665897327
N01,Nottingham,22-May,1,M,NA,9.78,7.9,33,0.03,725000,0.977016082,0.672169358,487322.78,0.458871054,0.516426554,0.888550464,12267,14772,RLT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N02,Nottingham,22-May,1,M,NA,9.71,7.1,33,0.04,5900000,0.982587304,0.514531495,3035735.82,0.728512853,0.229996619,3.16749375,392485,120542,RLT,116136,143061,100944,114317,11383,16399,9934,12338,3.675790739,4.134651608,4.04560341,4.577473882,0.000203858,0.00014246,0.000214465,0.000163781,8.966005759,9.311420112,8.881496608,9.089821256
N03,Nottingham,22-May,2,M,NA,11.33,7.6,40,0.04,6150000,0.96580865,0.432981783,2662837.96,0.633557138,0.304268543,2.082230167,405132,190601,RLT,136810,119225,105222,103511,14311,16169,10042,10506,3.334670513,3.646903035,3.827070287,3.957351342,0.000272823,0.000254054,0.000884541,0.001102637,9.054971781,9.220566523,8.726683005,8.706390604
N04,Nottingham,22-May,2,F,No,12.01,7,38,0.06,8937500,0.913594909,0.394056755,3521882.24,0.588821829,0.33422194,1.761768929,400820,223650,RLT,221962,190427,112106,99184,22694,25629,9145,9306,2.46896541,2.759497482,4.264536216,4.263890614,0.00053673,0.000863892,0.000215471,0.00025741,9.008332044,9.073439261,8.784851446,8.785352407
